-52.5,32,1
-67.5,40,2
-42.25,27,0
-17,14,-2
-5,3.5,0
7,-7,2
-8,1,3
-23,9,4
2.25,-4,2
27.5,-17,0
12.5,-9,1
-2.5,-1,2
-17.5,7,3
-32.5,15,4
-7.25,2,2
18,-11,0
3,-3,1
-12,5,2
13.25,-8,0
38.5,-21,-2
23.5,-13,-1
8.5,-5,0
-6.5,3,1
-21.5,11,2
3.75,-2,0
29,-15,-2
14,-7,-1
-1,1,0
-16,9,1
-31,17,2
-5.75,4,0
19.5,-9,-2
4.5,-1,-1
-10.5,7,0
-25.5,15,1
-40.5,23,2
-15.25,10,0
10,-3,-2
-5,5,-1
-20,13,0
-35,21,1
-50,29,2
-24.75,16,0
0.5,3,-2
-14.5,11,-1
-29.5,19,0
-44.5,27,1
-59.5,35,2
-34.25,22,0
-9,9,-2
-24,17,-1
-39,25,0
-54,33,1
-69,41,2
-43.75,28,0
-18.5,15,-2
-6.5,4.5,0
5.5,-6,2
-9.5,2,3
-24.5,10,4
0.75,-3,2
26,-16,0
11,-8,1
-4,0,2
-19,8,3
-34,16,4
-8.75,3,2
16.5,-10,0
1.5,-2,1
-13.5,6,2
11.75,-7,0
37,-20,-2
22,-12,-1
7,-4,0
-8,4,1
-23,12,2
2.25,-1,0
27.5,-14,-2
12.5,-6,-1
-2.5,2,0
-17.5,10,1
-32.5,18,2
-7.25,5,0
18,-8,-2
3,0,-1
-12,8,0
-27,16,1
-42,24,2
-16.75,11,0
8.5,-2,-2
-6.5,6,-1
-21.5,14,0
-36.5,22,1
-51.5,30,2
-26.25,17,0
-1,4,-2
-16,12,-1
-31,20,0
-46,28,1
-61,36,2
-35.75,23,0
-10.5,10,-2
-25.5,18,-1
-40.5,26,0
-55.5,34,1
-70.5,42,2
-45.25,29,0
-20,16,-2
-8,5.5,0
4,-5,2
-11,3,3
-26,11,4
-0.75,-2,2
24.5,-15,0
9.5,-7,1
-5.5,1,2
-20.5,9,3
-35.5,17,4
-10.25,4,2
15,-9,0
0,-1,1
-15,7,2
10.25,-6,0
35.5,-19,-2
20.5,-11,-1
5.5,-3,0
-9.5,5,1
-24.5,13,2
0.75,0,0
26,-13,-2
11,-5,-1
-4,3,0
-19,11,1
-34,19,2
-8.75,6,0
16.5,-7,-2
1.5,1,-1
-13.5,9,0
-28.5,17,1
-43.5,25,2
-18.25,12,0
7,-1,-2
-8,7,-1
-23,15,0
-38,23,1
-53,31,2
-27.75,18,0
-2.5,5,-2
-17.5,13,-1
-32.5,21,0
-47.5,29,1
-62.5,37,2
-37.25,24,0
-12,11,-2
-27,19,-1
-42,27,0
-57,35,1
-72,43,2
-46.75,30,0
-21.5,17,-2
-9.5,6.5,0
2.5,-4,2
-12.5,4,3
-27.5,12,4
-2.25,-1,2
23,-14,0
8,-6,1
-7,2,2
-22,10,3
-37,18,4
-11.75,5,2
13.5,-8,0
-1.5,0,1
-16.5,8,2
8.75,-5,0
34,-18,-2
19,-10,-1
4,-2,0
-11,6,1
-26,14,2
-0.75,1,0
24.5,-12,-2
9.5,-4,-1
-5.5,4,0
-20.5,12,1
-35.5,20,2
-10.25,7,0
15,-6,-2
0,2,-1
-15,10,0
-30,18,1
-45,26,2
-19.75,13,0
5.5,0,-2
-9.5,8,-1
-24.5,16,0
-39.5,24,1
-54.5,32,2
-29.25,19,0
-4,6,-2
-19,14,-1
-34,22,0
-49,30,1
-64,38,2
-38.75,25,0
-13.5,12,-2
-28.5,20,-1
-43.5,28,0
-58.5,36,1
-73.5,44,2
-48.25,31,0
-23,18,-2
-11,7.5,0
1,-3,2
-14,5,3
-29,13,4
-3.75,0,2
21.5,-13,0
6.5,-5,1
-8.5,3,2
-23.5,11,3
-38.5,19,4
-13.25,6,2
12,-7,0
-3,1,1
-18,9,2
7.25,-4,0
32.5,-17,-2
17.5,-9,-1
2.5,-1,0
-12.5,7,1
-27.5,15,2
-2.25,2,0
23,-11,-2
8,-3,-1
-7,5,0
-22,13,1
-37,21,2
-11.75,8,0
13.5,-5,-2
-1.5,3,-1
-16.5,11,0
-31.5,19,1
-46.5,27,2
-21.25,14,0
4,1,-2
-11,9,-1
-26,17,0
-41,25,1
-56,33,2
-30.75,20,0
-5.5,7,-2
-20.5,15,-1
-35.5,23,0
-50.5,31,1
-65.5,39,2
-40.25,26,0
-15,13,-2
-30,21,-1
-45,29,0
-60,37,1
-75,45,2
-49.75,32,0
-24.5,19,-2
-12.5,8.5,0
-0.5,-2,2
-15.5,6,3
-30.5,14,4
-5.25,1,2
20,-12,0
5,-4,1
-10,4,2
-25,12,3
-40,20,4
-14.75,7,2
10.5,-6,0
-4.5,2,1
-19.5,10,2
5.75,-3,0
31,-16,-2
16,-8,-1
1,0,0
