730,550,5.89842967507736,"21/32/44"
220,140,5.89786085872751,"22/25/27"
1090,840,5.89778714685985,"17/32/52"
560,380,5.89743145496719,"18/25/31"
590,900,5.89731784329476,"22/31/52"
720,530,5.89715690603301,"17/26/35"
160,200,5.89703634615053,"22/24/27"
670,440,5.89692383830163,"19/28/36"
500,430,5.89629926695908,"21/28/36"
990,880,5.89627475729121,"13/23/38"
730,1070,5.89584826180373,"17/26/48"
620,110,5.89567646868769,"21/30/32"
690,460,5.89557024353691,"18/27/35"
900,970,5.89556988803499,"19/32/56"
550,1170,5.8954119205718,"16/22/43"
230,1170,5.89538669886434,"21/24/47"
190,1040,5.89536676176867,"26/29/53"
830,1040,5.89536177203408,"18/29/53"
390,530,5.89534601006718,"20/25/34"
450,390,5.89532740465409,"24/31/39"
370,1170,5.89528835051277,"21/26/51"
230,1000,5.89521963723782,"21/24/43"
190,220,5.89520913675701,"26/29/33"
430,300,5.89518110328093,"21/27/32"
670,1100,5.89484042862772,"13/19/36"
300,860,5.89481349696551,"21/25/41"
670,680,5.89470268887311,"17/25/37"
310,310,5.89467779335437,"21/25/30"
360,250,5.89459273125789,"21/26/30"
890,620,5.89452735027085,"15/25/36"
310,1170,5.89452710746718,"20/24/47"
1050,1170,5.89449169408986,"12/22/43"
930,570,5.89429099994737,"21/36/50"
890,540,5.89420319678182,"18/30/41"
390,360,5.894152142365,"24/30/37"
730,950,5.89412942003698,"17/26/45"
270,1170,5.89409671749419,"24/28/55"
730,720,5.89399745608771,"19/29/44"
320,220,5.89385169370799,"19/23/26"
930,1000,5.89380127270735,"14/24/43"
270,280,5.89374257878448,"24/28/33"
340,330,5.89366211029296,"19/23/28"
620,1170,5.89335045111411,"16/23/45"
580,190,5.89321857218452,"18/25/28"
730,1010,5.89313885633797,"15/23/41"
630,190,5.89313109703856,"18/26/29"
1040,830,5.89311094327967,"17/31/50"
670,110,5.89305394544565,"21/31/33"
830,600,5.8930108212738,"18/29/41"
670,990,5.89285679385437,"15/22/39"
470,1170,5.8927983469298,"19/25/49"
920,640,5.89271880173187,"13/22/32"
970,580,5.89258320140636,"16/28/39"
670,1030,5.89245073628156,"15/22/40"
660,270,5.89236582508131,"17/25/29"
730,800,5.89221414076342,"19/29/46"
380,630,5.89215283598269,"20/25/36"
780,500,5.89206325299276,"21/33/44"
270,190,5.89203201618835,"23/27/30"
270,500,5.8919585365928,"18/21/28"
930,1170,5.89187321628718,"14/24/47"
140,80,5.89185184222504,"22/24/25"
270,820,5.89181763303122,"17/20/32"
730,280,5.89178232338567,"15/23/27"
270,730,5.89169703067727,"18/21/32"
970,1110,5.89158844436819,"12/21/40"
860,1170,5.89156972514888,"14/23/45"
1010,670,5.89156020714837,"14/25/37"
1060,610,5.89140928811869,"13/24/34"
550,330,5.89132952926985,"21/29/35"
640,280,5.89128767326273,"20/29/34"
620,500,5.89127629940329,"21/30/40"
860,1070,5.89126111260009,"17/28/52"
670,750,5.89099077947946,"15/22/34"
630,420,5.89069343130895,"18/26/33"
220,240,5.8906544828858,"23/26/30"
670,310,5.89050798705045,"17/25/30"
1000,940,5.89048218794677,"14/25/43"
860,150,5.89045104836091,"14/23/25"
650,320,5.89038242997165,"20/29/35"
850,210,5.89036275950552,"14/23/26"
360,450,5.89025375918096,"22/27/35"
580,480,5.89024350121429,"20/28/37"
530,280,5.8901628726964,"17/23/27"
930,540,5.89015908353209,"14/24/33"
970,470,5.8900940780746,"20/35/46"
360,490,5.88999077833855,"17/21/28"
1010,920,5.88995983029728,"15/27/46"
740,220,5.88991710913654,"15/23/26"
1010,400,5.88981605145637,"15/27/34"
1010,320,5.88976138966281,"14/25/30"
540,260,5.88964995248232,"22/30/35"
170,620,5.88950747474048,"19/21/30"
170,900,5.889261729596,"20/22/37"
310,750,5.88916832792649,"20/24/37"
1060,320,5.88910764013821,"13/24/29"
450,430,5.88904548192339,"17/22/28"
860,960,5.88902815250163,"14/23/40"
920,470,5.88898117425786,"13/22/29"
340,620,5.88894069915351,"19/23/33"
360,670,5.88887679908276,"17/21/31"
160,570,5.88870404853985,"21/23/32"
730,660,5.88870170574537,"17/26/38"
1000,450,5.88860820665079,"13/23/30"
890,1160,5.8885402689826,"12/20/39"
110,150,5.88853384329435,"31/33/36"
280,540,5.88851435768486,"23/27/37"
200,540,5.88847711629016,"17/19/26"
1020,600,5.88836197905567,"15/27/38"
770,200,5.88833846308484,"16/25/28"
1020,450,5.88830199436753,"15/27/35"
250,480,5.88825783001931,"19/22/29"
670,610,5.88819774809931,"13/19/27"
590,270,5.88813522266057,"17/24/28"
430,550,5.88812336156687,"21/27/37"
450,220,5.88801739352834,"17/22/25"
180,880,5.88799786739783,"19/21/35"
440,450,5.88792488897785,"21/27/35"
270,390,5.88791245523686,"17/20/25"
970,650,5.88774788059368,"16/28/41"
170,670,5.8876396699962,"19/21/31"
820,730,5.88761313489361,"13/21/32"
980,370,5.88753904829539,"12/21/26"
730,190,5.88753226297943,"17/26/29"
970,390,5.88742912678174,"16/28/35"
620,780,5.88737748362151,"16/23/36"
300,680,5.88731502134707,"16/19/28"
860,680,5.88730829792304,"14/23/34"
220,660,5.88729691225684,"15/17/25"
540,1100,5.88729441710237,"14/19/36"
220,810,5.88729403821524,"15/17/27"
730,140,5.88728517993644,"17/26/28"
770,260,5.88722491313025,"16/25/29"
190,860,5.88718980497383,"18/20/33"
460,590,5.88702070784111,"13/17/24"
410,490,5.88696198182942,"19/24/32"
970,1030,5.88695273361084,"12/21/38"
470,490,5.88693860141919,"16/21/28"
610,350,5.88691022654102,"12/17/21"
150,930,5.88639511716434,"22/24/41"
670,230,5.88637642560551,"19/28/32"
580,1030,5.88632139022591,"15/21/38"
510,1160,5.886307692812,"18/24/47"
240,340,5.88612187065977,"20/23/28"
1040,680,5.8861120293677,"17/31/46"
430,590,5.88583938197943,"21/27/38"
670,390,5.88576867645882,"19/28/35"
520,1130,5.88566189834652,"17/23/44"
1100,630,5.88557371212453,"17/32/46"
900,130,5.88556475989288,"16/27/29"
840,620,5.88555246520928,"13/21/30"
260,660,5.88552810918136,"13/15/22"
920,420,5.88552760496325,"13/22/28"
730,110,5.88550954912922,"19/29/31"
130,640,5.88550602393357,"25/27/39"
1060,1090,5.88539512451446,"13/24/45"
130,680,5.88525268665919,"25/27/40"
170,500,5.88523929858372,"19/21/28"
340,570,5.88512801559869,"19/23/32"
770,980,5.88508566652125,"16/25/44"
920,680,5.88501456819682,"10/17/25"
1010,1040,5.88500201248343,"10/18/33"
470,1080,5.88497427290102,"16/21/39"
520,150,5.88497276181517,"17/23/25"
820,510,5.88489620755003,"13/21/28"
1060,970,5.88474001208262,"13/24/42"
1050,450,5.88469913854214,"13/24/31"
810,660,5.88444182865103,"15/24/35"
480,530,5.88443199656137,"19/25/34"
530,520,5.8844212024509,"17/23/31"
170,350,5.88420746803574,"20/22/27"
380,200,5.88420477264296,"20/25/28"
520,570,5.88411352129323,"17/23/32"
150,320,5.88404395389479,"22/24/29"
530,800,5.8839642386538,"14/19/30"
960,100,5.88396142896167,"19/33/35"
540,830,5.88393972772413,"19/26/42"
730,360,5.88393091019112,"17/26/32"
900,720,5.88387420764974,"16/27/41"
1070,440,5.88385552553363,"13/24/31"
420,150,5.8838284700387,"18/23/25"
1020,540,5.88372681509029,"15/27/37"
240,600,5.88366527763686,"13/15/21"
870,430,5.88366461701415,"17/28/36"
1080,280,5.88366401119122,"15/28/33"
190,390,5.88359119638997,"18/20/25"
480,250,5.88354767500264,"19/25/29"
420,680,5.88354549128107,"18/23/34"
910,180,5.88350227848899,"16/27/30"
570,100,5.88342725676395,"13/18/19"
930,170,5.88339758510835,"17/29/32"
580,820,5.88335977920307,"20/28/45"
910,1120,5.88330601267679,"13/22/42"
1080,530,5.88329381986493,"15/28/38"
770,730,5.88326606536483,"16/25/38"
580,730,5.88324365313697,"15/21/32"
470,630,5.88322915410691,"19/25/36"
670,180,5.88322379491869,"19/28/31"
1090,260,5.88310166165798,"16/30/35"
230,440,5.88307904805481,"15/17/22"
520,860,5.88304812886819,"14/19/31"
1010,1070,5.88303971589102,"15/27/50"
790,780,5.88291267950616,"19/30/47"
470,880,5.88281575355745,"16/21/35"
630,1040,5.88277773481355,"16/23/42"
380,140,5.88276464302938,"20/25/27"
810,930,5.88254608802845,"15/24/41"
830,280,5.88254059995589,"10/16/19"
1040,260,5.88249415480723,"17/31/36"
160,730,5.88248384102306,"21/23/35"
220,900,5.88240951676144,"22/25/42"
600,680,5.88231828890188,"12/17/25"
610,850,5.8822623480006,"12/17/28"
1090,430,5.88218489395269,"15/28/36"
1100,900,5.88214248909028,"10/19/32"
610,740,5.88208662008625,"12/17/26"
310,420,5.88188068320023,"15/18/23"
1090,920,5.88185687331664,"9/17/29"
200,470,5.88184969200579,"17/19/25"
1100,330,5.88164781072751,"10/19/23"
130,300,5.88162217421333,"14/15/18"
470,140,5.88158916444467,"19/25/27"
1080,940,5.88158869132698,"15/28/48"
190,730,5.88158233848931,"17/19/29"
540,190,5.88157283663677,"19/26/29"
900,390,5.88140641001818,"9/15/19"
460,850,5.88140168213577,"23/30/49"
1050,390,5.8814000178828,"13/24/30"
1070,390,5.88139393508197,"13/24/30"
340,110,5.88136315151938,"14/17/18"
170,790,5.88128060258008,"19/21/33"
440,850,5.88122691272185,"17/22/36"
580,1110,5.88113627288704,"15/21/40"
190,420,5.8809384913649,"26/29/37"
1110,220,5.88081127995396,"12/23/26"
920,1080,5.88077068615869,"10/17/32"
1050,500,5.8807440803433,"13/24/32"
960,150,5.88072730028755,"12/21/23"
400,940,5.88048390886741,"12/15/26"
1050,240,5.8803910464214,"11/20/23"
810,250,5.8802496268848,"12/19/22"
130,730,5.88005807062086,"14/15/23"
1100,240,5.87988668898983,"18/34/39"
980,140,5.8796929888186,"13/23/25"
820,120,5.87953841397049,"18/29/31"
870,740,5.8794393062099,"9/15/23"
420,920,5.8793367643117,"11/14/24"
130,540,5.8792525384526,"13/14/19"
850,930,5.87924163985376,"11/18/31"
520,100,5.87924097210405,"14/19/20"
270,360,5.879190173594,"18/21/26"
310,540,5.87918715400863,"16/19/26"
870,90,5.87858692891355,"12/20/21"
160,450,5.87835006709922,"21/23/30"
790,320,5.87832169672626,"12/19/23"
1090,1060,5.87830501662999,"7/13/24"
780,1010,5.8781772588538,"16/25/45"
120,390,5.87778122748538,"15/16/20"
120,510,5.87713713233171,"14/15/20"
140,850,5.87696086091232,"13/14/23"
130,880,5.87687715183961,"14/15/25"
120,360,5.87662021736688,"16/17/21"
130,770,5.87652538984162,"13/14/22"
130,420,5.8760843307307,"13/14/18"
150,480,5.87578090572934,"11/12/16"
440,110,5.87569493876582,"24/31/33"
120,460,5.87535872650437,"15/16/21"
410,100,5.87523986176965,"15/19/20"
130,790,5.87488868301445,"13/14/22"
130,820,5.87395700308447,"12/13/21"
